timestamp,cpu_percent,ram_percent,disk_percent
2026-05-15 12:26:56,0.5,28.5,22.8
2026-05-15 12:27:57,0.8,28.5,22.8
2026-05-15 12:28:58,0.3,28.9,22.8
2026-05-15 12:29:59,0.5,29.3,22.8
2026-05-15 12:31:00,0.8,28.9,22.8
2026-05-15 12:32:01,0.3,28.9,22.8
2026-05-15 12:33:02,0.8,29.0,22.8
2026-05-15 12:34:03,0.3,29.0,22.8
2026-05-15 12:35:04,0.5,28.6,22.8
2026-05-15 12:36:05,0.3,28.6,22.8
2026-05-15 12:37:06,0.5,28.6,22.8
2026-05-15 12:38:07,0.3,28.6,22.8
2026-05-15 12:39:08,0.3,28.6,22.8
2026-05-15 12:40:09,0.3,28.6,22.8
2026-05-15 12:41:10,0.5,28.6,22.8
2026-05-15 12:42:11,0.5,29.5,22.8
2026-05-15 12:43:12,0.5,29.3,22.8
2026-05-15 12:44:13,0.5,29.0,22.8
2026-05-15 12:45:14,0.5,29.0,22.8
2026-05-15 12:46:15,0.5,29.0,22.8
2026-05-15 12:47:16,0.3,29.1,22.8
